date,price
2024-05-19,66100.05
2024-05-18,65640.38
2024-05-17,66273.2
2024-05-16,61901.0
2024-05-15,62501.0
2024-05-14,61450.99
2024-05-13,61501.0
2024-05-12,60912.92
2024-05-11,62928.75
2024-05-10,61000.0
2024-05-09,62604.82
2024-05-08,64227.41
2024-05-07,64399.0
2024-05-06,63289.25
2024-05-05,63666.0
2024-05-04,60110.37
2024-05-03,57646.58
2024-05-02,60040.0
2024-05-01,63301.01
2024-04-30,62001.0
2024-04-29,63022.06
2024-04-28,63730.69
2024-04-27,64532.25
2024-04-26,66679.99
2024-04-25,66998.5
2024-04-24,66787.6
2024-04-23,66489.0
2024-04-22,64725.15
2024-04-21,64091.17
2024-04-20,62818.91
2024-04-19,62000.0
2024-04-18,63480.82
2024-04-17,63262.39
2024-04-16,65897.59
2024-04-15,64601.0
2024-04-14,68496.89
2024-04-13,70088.61
2024-04-12,71000.0
2024-04-11,68731.9
2024-04-10,70108.12
2024-04-09,70000.0
2024-04-08,69000.0
2024-04-07,69342.61
2024-04-07,69342.61
2024-04-06,69342.61
2024-04-05,69342.61
2024-04-04,69342.61
2024-04-03,69342.61
2024-04-02,69342.61
2024-04-01,69342.61
