date,price
2024-10-24,2580.41
2024-10-23,2659.14
2024-10-22,2712.3
2024-10-21,2700.0
2024-10-20,2647.62
2024-10-19,2631.0
2024-10-18,2640.0
2024-10-17,2618.35
2024-10-16,2594.0
2024-10-15,2526.66
2024-10-14,2454.99
2024-10-13,2445.0
2024-10-12,2419.81
2024-10-11,2389.85
2024-10-10,2437.46
2024-10-09,2425.53
2024-10-08,2450.88
2024-10-07,2435.33
2024-10-06,2428.87
2024-10-05,2382.24
2024-10-04,2388.26
2024-10-03,2410.13
2024-10-02,2635.55
2024-10-01,2606.29
2024-09-30,2619.62
2024-09-29,2666.72
2024-09-28,2675.97
2024-09-27,2634.53
2024-09-26,2608.0
2024-09-25,2630.94
2024-09-24,2656.64
2024-09-23,2580.0
2024-09-22,2541.76
2024-09-21,2543.2
2024-09-20,2427.01
2024-09-19,2287.44
2024-09-18,2374.84
2024-09-17,2307.37
2024-09-16,2331.14
2024-09-15,2413.77
2024-09-14,2368.95
2024-09-13,2353.07
2024-09-12,2287.0
2024-09-11,2355.94
2024-09-10,2337.76
2024-09-09,2274.98
2024-09-08,2281.48
2024-09-07,2350.0
2024-09-06,2411.26
2024-09-05,2376.77
2024-09-04,2493.26
2024-09-03,2520.29
2024-09-02,2470.88
2024-09-01,2463.01
2024-08-31,2492.54
2024-08-30,2529.58
2024-08-29,2479.22
2024-08-28,2650.0
2024-08-27,2692.02
2024-08-26,2740.91
2024-08-25,2800.0
2024-08-24,2683.39
2024-08-23,2643.1
2024-08-22,2607.33
2024-08-21,2618.52
2024-08-20,2583.49
2024-08-19,2600.63
2024-08-18,2625.23
2024-08-17,2625.23
2024-08-16,2622.0
2024-08-15,2738.5
2024-08-14,2738.5
2024-08-13,2597.05
2024-08-12,2654.14
2024-08-11,2614.29
2024-08-10,2657.54
2024-08-09,2520.06
2024-08-08,2509.27
2024-08-07,2472.91
2024-08-06,2314.78
2024-08-05,2914.4
2024-08-04,2997.0
2024-08-03,3154.66
2024-08-02,3130.0
2024-08-01,3326.11
2024-07-31,3343.44
2024-07-30,3383.26
2024-07-29,3299.54
2024-07-28,3316.22
2024-07-27,3265.0
2024-07-26,3187.71
2024-07-25,3395.0
2024-07-24,3491.93
2024-07-23,3482.04
2024-07-22,3403.51
2024-07-21,3403.51
2024-07-20,3403.51
2024-07-19,3403.51
2024-07-18,3445.51
2024-07-17,3377.9
2024-07-16,3349.89
2024-07-15,3188.46
2024-07-14,3143.24
2024-07-13,3081.74
2024-07-12,3093.0
2024-07-11,3119.14
2024-07-10,3087.4
2024-07-09,2907.0
2024-07-08,3000.81
2024-07-07,2981.87
2024-07-06,2883.3
2024-07-05,3100.0
2024-07-04,3300.36
2024-07-03,3422.48
2024-07-02,3414.81
2024-07-01,3425.67
2024-06-30,3374.35
2024-06-29,3489.28
2024-06-28,3401.84
2024-06-27,3381.93
2024-06-26,3347.93
2024-06-25,3375.0
2024-06-24,3420.1
2024-06-23,3477.62
2024-06-22,3552.31
2024-06-21,3612.01
2024-06-20,3560.9
2024-06-19,3456.46
2024-06-18,3511.0
2024-06-17,3646.5
2024-06-16,3540.23
2024-06-15,3420.42
2024-06-14,3520.85
2024-06-13,3524.55
2024-06-12,3538.26
2024-06-11,3679.74
2024-06-10,3733.56
2024-06-09,3670.0
2024-06-08,3803.28
2024-06-07,3843.57
2024-06-06,3850.0
2024-06-05,3820.0
2024-06-04,3833.68
2024-06-03,3785.92
2024-06-02,3793.68
2024-06-01,3733.03
2024-05-31,3754.36
2024-05-30,3749.28
2024-05-29,3845.27
2024-05-28,3902.0
2024-05-27,3801.6
2024-05-26,3750.46
2024-05-25,3726.84
2024-05-24,3822.92
2024-05-23,3694.76
2024-05-22,3672.45
2024-05-21,3106.57
2024-05-20,3094.3
2024-05-19,3118.16
2024-05-18,3010.07
2024-05-17,2990.0
2024-05-16,2916.99
2024-05-15,2913.73
2024-05-14,2962.94
2024-05-13,2932.0
2024-05-12,2914.59
2024-05-11,2940.98
2024-05-10,3001.77
2024-05-09,2979.67
2024-05-08,3193.57
2024-05-07,3184.49
2024-05-06,3134.67
2024-05-05,3110.29
2024-05-04,2985.0
2024-05-03,2996.0
2024-05-02,2890.06
2024-05-01,3140.95
2024-04-30,3158.79
2024-04-29,3326.13
2024-04-28,3247.45
2024-04-27,3120.48
2024-04-26,3148.75
2024-04-25,3132.47
2024-04-24,3181.44
2024-04-23,3290.0
2024-04-22,3142.51
2024-04-21,3082.54
2024-04-20,3106.0
2024-04-19,2991.08
2024-04-18,3079.0
2024-04-17,3055.4
2024-04-16,3167.05
2024-04-15,3055.0
2024-04-14,3261.79
2024-04-13,3506.36
2024-04-12,3551.48
2024-04-11,3508.4
2024-04-10,3689.16
2024-04-09,3537.0
2024-04-08,3364.92
2024-04-07,3400.55
2024-04-07,3400.55
2024-04-06,3400.55
2024-04-05,3400.55
2024-04-04,3400.55
2024-04-03,3400.55
2024-04-02,3400.55
2024-04-01,3400.55
